"Taxon","Binomial","Presence","Origin","Seasonal","Compiler","Year","Citation","Dec_Lat","Dec_Long","SpatialRef","BasisOfRec","Event_Year","Source","CatalogNo","Dist_comm","Subspecies","Subpop","Tax_comm","Data_sens","Sens_comm"
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",16.7881,-90.1168,"WGS84","Preserved_specimen","00/07/1933",NA,NA,"La Libertad and Vicinity","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.4001,-90.6833,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 05","Palin","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.9501,-89.2833,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 102","La Union","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",15.3667,-91.9501,"WGS84","Preserved_specimen","00/00/1985","FAUSAC","C. Azurdia & M. Gonzalez 1136","Cuilco, Sosi","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.7333,-92.0333,"WGS84","Preserved_specimen","00/00/1985","FAUSAC","C. Azurdia & M. Gonzalez 1207","Pajapita","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.6833,-89.3501,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 127","Olopa, Tituque","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",15.1001,-89.3501,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 178","Gualan, El Cedral","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.2167,-90.6333,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 25","Guanagazapa","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.6333,-89.9833,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 280","Jalapa","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.5001,-89.8667,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 303","Monjas","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.3167,-89.8167,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 318","Jutiapa, Buena Vista","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.3333,-89.7001,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 328","Asuncion Mita, Las Crucitas","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.2833,-89.8833,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 335","Jutiapa, ríÈo de la Virgen","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.6333,-89.4333,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 346","Quezaltepeque","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.0833,-90.3667,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 36","Chiquimulilla","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",16.5501,-90.4001,"WGS84","Preserved_specimen","00/00/1983","FAUSAC","C. Azurdia & M. Gonzalez 381","Sayaxche, Parc. Cannaan, Coop. La Palma","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.1833,-90.4333,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 44","Pueblo Nuevo Vinas, Ixpaco","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",16.6667,-89.4833,"WGS84","Preserved_specimen","00/00/1983","FAUSAC","C. Azurdia & M. Gonzalez 584","Melchor, Grano de Oro","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",16.9667,-89.4833,"WGS84","Preserved_specimen","00/00/1983","FAUSAC","C. Azurdia & M. Gonzalez 595","Poptun, Poxte","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",15.3667,-88.9667,"WGS84","Preserved_specimen","00/00/1983","FAUSAC","C. Azurdia & M. Gonzalez 631","Amates, Montufar","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",14.6001,-90.2667,"WGS84","Preserved_specimen","00/00/1982","FAUSAC","C. Azurdia & M. Gonzalez 73","San Antonio La Paz","glabriusculum",NA,NA,"No",NA
"Capsicum annuum glabriusculum","Capsicum annuum",1,1,1,"Emma Gomez",2017,"AtlasGuatemala",16.4167,-90.1833,"WGS84","Preserved_specimen","00/00/1983","FAUSAC","C. Azurdia & M. Gonzalez 758","Sayaxche, Parc. Santo Tomí_s","glabriusculum",NA,NA,"No",NA
